DATE,USAUCSFRCONDOSMSAMID_NBD20200201,CSUSHPINSA_NBD20200201
2005-04-01,73.82606,78.32627
2005-05-01,74.56713,79.51991
2005-06-01,75.34333,80.67885
2005-07-01,76.12531,81.65535
2005-08-01,76.91628,82.51130
2005-09-01,77.69414,83.30300
2005-10-01,78.43087,83.83815
2005-11-01,79.10343,84.27059
2005-12-01,79.71113,84.47367
2006-01-01,80.23152,84.81183
2006-02-01,80.71481,85.12701
2006-03-01,81.20159,85.71281
2006-04-01,81.72461,86.13446
2006-05-01,82.24084,86.47731
2006-06-01,82.69615,86.55563
2006-07-01,83.05287,86.58424
2006-08-01,83.32732,86.48903
2006-09-01,83.50703,86.39195
2006-10-01,83.63393,86.32441
2006-11-01,83.70044,86.12648
2006-12-01,83.74057,85.93794
2007-01-01,83.75541,85.69827
2007-02-01,83.77120,85.58196
2007-03-01,83.78260,85.45204
2007-04-01,83.79420,85.42296
2007-05-01,83.75722,85.30758
2007-06-01,83.65099,85.14577
2007-07-01,83.45365,84.88922
2007-08-01,83.22057,84.53323
2007-09-01,82.94219,84.01122
2007-10-01,82.64318,83.26454
2007-11-01,82.28423,82.15391
2007-12-01,81.90548,81.29843
2008-01-01,81.47093,80.23798
2008-02-01,80.99227,79.35294
2008-03-01,80.45411,78.74932
2008-04-01,79.87317,78.47729
2008-05-01,79.26900,78.33565
2008-06-01,78.63354,78.10911
2008-07-01,77.95731,77.72264
2008-08-01,77.20740,77.04960
2008-09-01,76.44861,75.93991
2008-10-01,75.70797,74.65058
2008-11-01,74.98321,73.20038
2008-12-01,74.26492,71.54616
2009-01-01,73.56415,70.05328
2009-02-01,72.96663,69.23532
2009-03-01,72.41863,68.71799
2009-04-01,71.90219,68.91873
2009-05-01,71.38001,69.49421
2009-06-01,70.88813,70.25730
2009-07-01,70.44265,70.70381
2009-08-01,70.03057,70.66629
2009-09-01,69.65196,70.17851
2009-10-01,69.34262,69.68932
2009-11-01,69.16801,69.38681
2009-12-01,69.08973,68.78881
2010-01-01,69.06423,68.00884
2010-02-01,69.03631,67.09472
2010-03-01,69.03491,67.34893
2010-04-01,69.07641,68.19597
2010-05-01,69.10042,68.96329
2010-06-01,69.04343,69.27518
2010-07-01,68.82775,69.20952
2010-08-01,68.50912,68.67672
2010-09-01,68.11412,67.82311
2010-10-01,67.70579,67.12943
2010-11-01,67.29126,66.51502
2010-12-01,66.90548,65.95642
2011-01-01,66.54820,65.20974
2011-02-01,66.21724,64.59768
2011-03-01,65.90208,64.62300
2011-04-01,65.57244,65.26696
2011-05-01,65.22517,65.98644
2011-06-01,64.88493,66.57411
2011-07-01,64.59804,66.76031
2011-08-01,64.35699,66.49907
2011-09-01,64.15014,65.74020
2011-10-01,63.94665,64.91520
2011-11-01,63.77364,64.09677
2011-12-01,63.62334,63.39418
2012-01-01,63.53168,62.92563
2012-02-01,63.52424,62.84543
2012-03-01,63.60867,63.72155
2012-04-01,63.75277,64.94334
2012-05-01,63.92923,66.15200
2012-06-01,64.14049,67.14725
2012-07-01,64.37104,67.67021
2012-08-01,64.56870,67.86860
2012-09-01,64.79446,67.70491
2012-10-01,65.03844,67.52106
2012-11-01,65.32991,67.51731
2012-12-01,65.63486,67.47369
2013-01-01,65.98469,67.68287
2013-02-01,66.36050,68.08247
2013-03-01,66.75269,69.39572
2013-04-01,67.17950,70.80699
2013-05-01,67.67836,72.16198
2013-06-01,68.23248,73.36595
2013-07-01,68.73494,74.23785
2013-08-01,69.22471,74.75705
2013-09-01,69.67185,74.88744
2013-10-01,70.16772,74.83350
2013-11-01,70.57354,74.74345
2013-12-01,70.94505,74.70452
2014-01-01,71.26922,74.74485
2014-02-01,71.61513,74.98030
2014-03-01,71.96428,75.59800
2014-04-01,72.31475,76.43332
2014-05-01,72.71503,77.23768
2014-06-01,73.06988,77.95481
2014-07-01,73.41842,78.38771
2014-08-01,73.68528,78.53498
2014-09-01,73.93537,78.43695
2014-10-01,74.10028,78.28171
2014-11-01,74.31558,78.16352
2014-12-01,74.57889,78.07018
2015-01-01,74.90309,77.97122
2015-02-01,75.22578,78.14992
2015-03-01,75.55364,78.83374
2015-04-01,75.91213,79.71643
2015-05-01,76.30760,80.59865
2015-06-01,76.68740,81.34908
2015-07-01,77.07984,81.83967
2015-08-01,77.49146,82.04651
2015-09-01,77.94661,82.09622
2015-10-01,78.42496,82.09857
2015-11-01,78.85462,82.14125
2015-12-01,79.28217,82.12812
2016-01-01,79.74293,82.09060
2016-02-01,80.20154,82.20504
2016-03-01,80.54278,82.82554
2016-04-01,80.85478,83.71527
2016-05-01,81.16830,84.58248
2016-06-01,81.55021,85.31884
2016-07-01,81.84084,85.83523
2016-08-01,82.11410,86.13399
2016-09-01,82.41380,86.26907
2016-10-01,82.79146,86.30330
2016-11-01,83.20959,86.40274
2016-12-01,83.65114,86.48341
2017-01-01,84.09328,86.60207
2017-02-01,84.55602,86.77467
2017-03-01,85.03247,87.48194
2017-04-01,85.55016,88.42607
2017-05-01,86.01087,89.36223
2017-06-01,86.44263,90.17222
2017-07-01,86.81075,90.75662
2017-08-01,87.18800,91.14825
2017-09-01,87.58077,91.36868
2017-10-01,88.02901,91.49344
2017-11-01,88.51208,91.66510
2017-12-01,89.01763,91.85130
2018-01-01,89.51777,91.97700
2018-02-01,90.00341,92.34752
2018-03-01,90.56518,93.12984
2018-04-01,91.07669,94.08711
2018-05-01,91.57360,94.94869
2018-06-01,91.93417,95.69490
2018-07-01,92.39091,96.12029
2018-08-01,92.82892,96.29758
2018-09-01,93.27217,96.31963
2018-10-01,93.57697,96.31775
2018-11-01,93.88330,96.19487
2018-12-01,94.21068,96.00257
2019-01-01,94.60558,95.76900
2019-02-01,95.06389,95.87500
2019-03-01,95.54819,96.50723
2019-04-01,95.98013,97.40493
2019-05-01,96.30215,98.18537
2019-06-01,96.58513,98.76461
2019-07-01,96.84567,99.11637
2019-08-01,97.13204,99.28475
2019-09-01,97.38428,99.36823
2019-10-01,97.73560,99.41185
2019-11-01,98.21373,99.47658
2019-12-01,98.77595,99.53896
2020-01-01,99.39501,99.61494
2020-02-01,100.00000,100.00000
2020-03-01,100.62938,100.92584
2020-04-01,101.16828,101.88404
2020-05-01,101.47162,102.46890
2020-06-01,101.64239,103.09176
2020-07-01,101.91630,103.91723
2020-08-01,102.57271,105.08180
2020-09-01,103.70010,106.37300
2020-10-01,105.07720,107.78568
2020-11-01,106.63466,108.96010
2020-12-01,108.15259,109.92064
2021-01-01,109.61249,110.89151
2021-02-01,111.10482,112.19397
2021-03-01,112.66252,114.53624
2021-04-01,114.36616,117.16554
2021-05-01,116.25610,119.80329
2021-06-01,118.28868,122.48888
2021-07-01,120.11314,124.52395
2021-08-01,121.40969,126.06045
2021-09-01,122.20102,127.30522
2021-10-01,122.97663,128.34128
2021-11-01,124.02809,129.45285
2021-12-01,125.32394,130.65869
2022-01-01,127.10674,132.24021
2022-02-01,129.24199,134.68707
2022-03-01,131.75249,138.34915
2022-04-01,134.26161,141.46343
2022-05-01,136.50376,143.70251
2022-06-01,138.37794,144.54346
2022-07-01,139.36286,143.99612
2022-08-01,139.51278,142.37895
2022-09-01,139.00091,140.89029
2022-10-01,138.50869,140.06153
2022-11-01,138.10456,139.21308
2022-12-01,137.73751,138.03444
2023-01-01,137.25648,137.32811
2023-02-01,136.90493,137.68925
2023-03-01,136.88009,139.53952
2023-04-01,137.26975,141.47984
2023-05-01,137.92668,143.29728
2023-06-01,138.70960,144.67994
2023-07-01,139.41586,145.57811
2023-08-01,140.07124,146.21832
2023-09-01,140.56638,146.61839
2023-10-01,140.93689,146.78724
2023-11-01,141.19938,146.43125
2023-12-01,141.37357,145.87547
2024-01-01,141.54691,145.79526
2024-02-01,141.86457,146.69672
2024-03-01,142.48236,148.65674
2024-04-01,143.22622,150.48965
2024-05-01,143.80081,151.89389
2024-06-01,144.02588,152.63447
2024-07-01,144.08521,152.79815
2024-08-01,144.18274,.
